"","gs_name","gs_id","gs_cat","gs_subcat","human_gene_symbol","species_name","entrez_gene","gene_symbol","sources"
"54","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","CUL1","Homo sapiens",8454,"CUL1",NA
"55","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","DBF4","Homo sapiens",10926,"DBF4",NA
"56","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","E2F1","Homo sapiens",1869,"E2F1",NA
"57","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","E2F2","Homo sapiens",1870,"E2F2",NA
"58","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","E2F3","Homo sapiens",1871,"E2F3",NA
"59","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","E2F4","Homo sapiens",1874,"E2F4",NA
"60","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","E2F5","Homo sapiens",1875,"E2F5",NA
"61","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","EP300","Homo sapiens",2033,"EP300",NA
"62","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","ESPL1","Homo sapiens",9700,"ESPL1",NA
"63","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","FZR1","Homo sapiens",51343,"FZR1",NA
"64","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","GADD45A","Homo sapiens",1647,"GADD45A",NA
"65","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","GADD45B","Homo sapiens",4616,"GADD45B",NA
"66","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","GADD45G","Homo sapiens",10912,"GADD45G",NA
"67","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","GSK3B","Homo sapiens",2932,"GSK3B",NA
"68","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","HDAC1","Homo sapiens",3065,"HDAC1",NA
"69","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","HDAC2","Homo sapiens",3066,"HDAC2",NA
"70","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","MAD1L1","Homo sapiens",8379,"MAD1L1",NA
"71","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","MAD2L1","Homo sapiens",4085,"MAD2L1",NA
"72","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","MAD2L2","Homo sapiens",10459,"MAD2L2",NA
"73","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","MCM2","Homo sapiens",4171,"MCM2",NA
