"","gs_name","gs_id","gs_cat","gs_subcat","human_gene_symbol","species_name","entrez_gene","gene_symbol","sources"
"55","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","PIK3CB","Homo sapiens",5291,"PIK3CB",NA
"56","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","PIK3CD","Homo sapiens",5293,"PIK3CD",NA
"57","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","PIK3CG","Homo sapiens",5294,"PIK3CG",NA
"58","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","PIK3R1","Homo sapiens",5295,"PIK3R1",NA
"59","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","PIK3R2","Homo sapiens",5296,"PIK3R2",NA
"60","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","PIK3R3","Homo sapiens",8503,"PIK3R3",NA
"61","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","PIK3R5","Homo sapiens",23533,"PIK3R5",NA
"62","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","PPP3CA","Homo sapiens",5530,"PPP3CA",NA
"63","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","PPP3CB","Homo sapiens",5532,"PPP3CB",NA
"64","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","PPP3CC","Homo sapiens",5533,"PPP3CC",NA
"65","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","PPP3R1","Homo sapiens",5534,"PPP3R1",NA
"66","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","PPP3R2","Homo sapiens",5535,"PPP3R2",NA
"67","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","PRKACA","Homo sapiens",5566,"PRKACA",NA
"68","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","PRKACB","Homo sapiens",5567,"PRKACB",NA
"69","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","PRKACG","Homo sapiens",5568,"PRKACG",NA
"70","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","PRKAR1A","Homo sapiens",5573,"PRKAR1A",NA
"71","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","PRKAR1B","Homo sapiens",5575,"PRKAR1B",NA
"72","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","PRKAR2A","Homo sapiens",5576,"PRKAR2A",NA
"73","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","PRKAR2B","Homo sapiens",5577,"PRKAR2B",NA
"74","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","PRKX","Homo sapiens",5613,"PRKX",NA
"75","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","RELA","Homo sapiens",5970,"RELA",NA
"76","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","RIPK1","Homo sapiens",8737,"RIPK1",NA
"77","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","TNF","Homo sapiens",7124,"TNF",NA
"78","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","TNFRSF10A","Homo sapiens",8797,"TNFRSF10A",NA
"79","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","TNFRSF10B","Homo sapiens",8795,"TNFRSF10B",NA
"80","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","TNFRSF10C","Homo sapiens",8794,"TNFRSF10C",NA
"81","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","TNFRSF10D","Homo sapiens",8793,"TNFRSF10D",NA
"82","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","TNFRSF1A","Homo sapiens",7132,"TNFRSF1A",NA
"83","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","TNFSF10","Homo sapiens",8743,"TNFSF10",NA
"84","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","TP53","Homo sapiens",7157,"TP53",NA
"85","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","TRADD","Homo sapiens",8717,"TRADD",NA
"86","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","TRAF2","Homo sapiens",7186,"TRAF2",NA
"87","KEGG_APOPTOSIS","M8492","C2","CP:KEGG","XIAP","Homo sapiens",331,"XIAP",NA
